level_0,recG_1,recG_10,recG_100,recG_101,recG_102,recG_103,recG_104,recG_105,recG_106,recG_107,recG_108,recG_109,recG_11,recG_110,recG_111,recG_112,recG_113,recG_114,recG_115,recG_116,recG_117,recG_118,recG_119,recG_12,recG_120,recG_121,recG_122,recG_123,recG_124,recG_125,recG_126,recG_127,recG_128,recG_129,recG_13,recG_130,recG_131,recG_132,recG_133,recG_134,recG_135,recG_136,recG_137,recG_138,recG_139,recG_14,recG_140,recG_141,recG_142,recG_143,recG_144,recG_145,recG_146,recG_147,recG_148,recG_149,recG_15,recG_150,recG_151,recG_152,recG_153,recG_154,recG_155,recG_156,recG_157,recG_158,recG_159,recG_16,recG_160,recG_161,recG_162,recG_163,recG_164,recG_165,recG_166,recG_167,recG_168,recG_169,recG_17,recG_170,recG_171,recG_172,recG_173,recG_174,recG_175,recG_176,recG_177,recG_178,recG_179,recG_18,recG_180,recG_181,recG_182,recG_183,recG_184,recG_185,recG_186,recG_187,recG_188,recG_189,recG_19,recG_190,recG_191,recG_192,recG_193,recG_194,recG_195,recG_196,recG_197,recG_198,recG_199,recG_2,recG_20,recG_200,recG_201,recG_202,recG_203,recG_204,recG_205,recG_206,recG_207,recG_208,recG_209,recG_21,recG_210,recG_211,recG_212,recG_213,recG_214,recG_215,recG_216,recG_217,recG_218,recG_219,recG_22,recG_220,recG_221,recG_222,recG_223,recG_224,recG_225,recG_226,recG_227,recG_228,recG_229,recG_23,recG_230,recG_231,recG_232,recG_233,recG_234,recG_235,recG_236,recG_237,recG_238,recG_239,recG_24,recG_240,recG_241,recG_25,recG_26,recG_27,recG_28,recG_29,recG_3,recG_30,recG_31,recG_32,recG_33,recG_34,recG_35,recG_36,recG_37,recG_38,recG_39,recG_4,recG_40,recG_41,recG_42,recG_43,recG_44,recG_45,recG_46,recG_47,recG_48,recG_49,recG_5,recG_50,recG_51,recG_52,recG_53,recG_54,recG_55,recG_56,recG_57,recG_58,recG_59,recG_6,recG_60,recG_61,recG_62,recG_63,recG_64,recG_65,recG_66,recG_67,recG_68,recG_69,recG_7,recG_70,recG_71,recG_72,recG_73,recG_74,recG_75,recG_76,recG_77,recG_78,recG_79,recG_8,recG_80,recG_81,recG_82,recG_83,recG_84,recG_85,recG_86,recG_87,recG_88,recG_89,recG_9,recG_90,recG_91,recG_92,recG_93,recG_94,recG_95,recG_96,recG_97,recG_98,recG_99
recG_108,49,49,21,18,17,18,20,2,1,1,0,51,48,51,51,53,56,51,53,53,52,53,53,50,48,52,50,53,52,52,51,54,51,58,51,52,52,50,45,61,49,50,50,50,50,49,47,54,51,54,52,51,53,48,57,53,49,49,48,50,48,50,49,56,25,46,45,50,19,20,47,54,51,51,52,50,58,52,49,54,52,50,53,53,50,53,51,47,52,50,52,49,51,51,58,50,53,148,154,145,48,154,152,155,159,52,52,51,50,50,58,52,51,50,49,51,18,149,146,143,152,147,41,50,151,154,151,156,56,54,51,51,53,49,51,52,38,40,40,40,42,41,39,39,41,50,160,50,53,50,52,54,144,147,50,49,52,50,159,52,52,49,51,50,50,50,49,48,52,53,53,51,50,53,46,50,53,53,52,52,50,51,52,54,49,53,50,51,54,49,50,50,51,54,50,52,54,49,55,49,52,51,50,53,50,52,54,57,49,53,53,50,17,17,48,52,51,52,51,51,48,49,48,48,55,54,52,51,53,50,51,50,50,51,53,48,50,50,53,50,19
recG_109,51,49,50,48,51,52,49,51,52,52,51,0,49,2,42,44,47,50,44,44,43,49,44,52,45,45,43,44,45,43,44,45,44,49,48,45,43,43,49,55,49,52,47,4,4,47,44,47,42,47,43,44,46,45,57,44,48,5,4,4,4,4,5,47,49,52,50,50,52,53,46,50,3,2,3,50,58,3,50,47,50,4,44,44,6,44,42,46,43,49,43,46,44,44,49,4,51,145,147,143,50,152,150,154,159,50,50,49,52,6,49,52,49,43,46,42,51,143,145,142,150,144,43,51,144,152,150,153,49,45,42,42,44,2,48,3,39,42,42,44,41,41,43,39,43,47,146,4,45,3,6,45,143,145,53,2,49,4,153,50,49,3,3,1,48,2,3,4,3,46,48,44,42,44,45,49,42,44,43,45,43,42,43,43,44,42,49,2,47,2,43,41,43,52,43,45,45,49,48,48,54,51,48,55,48,54,56,55,49,44,54,41,53,51,46,43,44,43,44,51,45,42,46,49,46,50,43,43,44,4,48,53,4,2,46,47,4,3,44,3,51
recG_11,3,1,52,49,50,51,51,50,49,49,48,49,0,49,55,57,58,3,57,57,56,50,57,4,52,56,54,57,56,56,55,58,55,62,9,56,56,54,55,61,1,4,8,49,49,5,50,58,53,60,54,55,57,51,58,57,1,47,49,48,47,49,50,58,49,48,48,4,49,50,40,55,50,49,48,3,37,48,1,56,49,49,57,56,51,56,55,53,52,3,56,53,55,55,60,48,49,152,156,142,1,152,148,155,158,53,53,52,4,49,62,6,3,56,53,53,51,152,150,140,151,151,37,3,149,152,161,152,60,58,55,55,57,49,49,48,36,37,37,37,37,36,36,32,36,48,148,49,55,48,48,56,144,146,48,47,50,47,156,49,50,48,50,48,2,49,50,49,50,57,59,55,56,57,52,3,57,57,56,53,51,50,56,55,55,55,2,49,58,47,54,54,54,52,54,55,57,2,57,52,52,49,50,53,52,52,54,54,2,57,53,54,52,50,49,56,52,56,52,5,54,50,51,2,57,51,56,57,57,49,9,5,49,47,54,50,49,48,57,48,51
recG_110,51,49,50,48,51,52,49,51,52,52,51,2,49,0,42,42,45,50,44,44,43,49,44,52,45,45,43,44,45,43,44,45,44,49,48,45,43,43,49,55,49,52,47,4,4,47,44,47,42,47,43,44,46,45,57,44,48,5,4,4,4,4,5,47,49,52,50,50,52,53,46,50,3,2,3,50,58,3,50,47,50,4,44,44,6,44,42,46,43,49,43,46,44,44,49,4,51,145,147,143,50,152,150,154,159,50,50,49,52,6,49,52,49,43,46,42,51,145,145,142,150,144,43,51,144,152,152,153,49,45,42,42,44,2,48,3,39,42,42,44,41,41,43,39,43,47,146,4,45,3,6,45,143,145,53,2,49,4,153,50,49,3,3,1,48,2,3,4,3,46,48,44,42,44,45,49,42,44,43,45,43,42,43,43,44,42,49,2,47,2,43,41,43,52,43,45,45,49,48,48,54,51,48,55,48,54,56,55,49,44,54,41,53,51,46,43,44,43,44,51,45,42,46,49,46,50,43,43,44,4,48,53,4,2,46,47,4,3,44,3,51
recG_111,56,55,55,52,53,54,54,51,52,52,51,42,55,42,0,2,9,58,4,4,3,39,4,57,5,7,3,4,5,3,4,5,4,9,58,5,3,7,55,55,54,57,57,41,41,58,39,10,2,11,3,4,6,40,61,4,56,42,41,43,41,40,40,7,54,53,50,57,54,55,43,49,42,42,43,58,54,43,56,7,40,41,4,4,39,6,2,6,7,57,3,6,4,6,9,41,41,154,161,154,56,165,163,168,168,47,48,46,57,41,9,57,55,5,6,6,52,157,154,153,156,153,45,54,160,165,166,165,9,7,1,2,2,40,34,43,40,42,42,44,43,44,44,42,44,33,152,41,6,41,41,7,150,157,56,40,35,41,170,40,35,40,42,41,56,41,42,41,43,6,8,4,3,4,5,56,4,3,1,42,40,41,3,5,4,4,57,42,7,40,3,1,3,47,3,5,5,57,8,47,51,50,47,52,47,51,53,50,56,4,53,5,54,53,45,1,41,1,39,58,5,39,43,55,8,40,2,4,3,41,58,58,41,42,43,46,41,41,2,41,53
recG_112,58,57,57,54,55,56,56,53,54,54,53,44,57,42,2,0,9,60,6,6,5,41,6,59,7,9,5,6,7,5,6,7,6,9,60,7,5,9,57,57,56,59,59,43,43,60,41,12,4,13,5,6,8,42,63,6,58,44,43,45,43,42,42,9,56,55,52,59,56,57,45,51,44,44,45,60,56,45,58,9,42,43,6,6,41,8,4,8,9,59,5,8,6,8,11,43,43,154,161,154,58,165,163,168,168,49,50,48,59,43,11,59,57,7,8,8,54,157,154,153,156,153,47,56,160,165,166,165,11,9,3,4,4,42,36,45,42,44,44,46,45,46,46,44,46,35,152,43,8,43,43,9,150,157,58,42,37,43,170,42,37,42,44,43,58,43,44,43,45,8,10,6,5,6,7,58,6,5,3,44,42,43,5,7,6,6,59,44,9,42,5,3,5,49,5,7,7,59,10,49,53,52,49,54,49,53,55,52,58,6,55,7,56,55,47,1,43,3,41,60,7,41,45,57,10,42,2,6,3,43,60,60,43,44,45,48,43,43,2,43,55
recG_113,59,58,60,57,58,59,59,56,57,57,56,47,58,45,9,9,0,61,11,11,10,42,11,60,8,14,10,11,10,10,7,12,11,16,61,12,10,14,58,56,57,60,60,47,47,61,45,17,9,18,10,11,13,46,63,11,59,48,47,49,47,46,46,12,57,56,53,60,56,57,46,53,48,47,48,61,62,48,59,14,43,47,11,11,45,13,9,11,6,60,10,9,9,7,14,47,44,156,161,154,59,165,162,168,166,51,52,50,60,47,16,60,58,12,9,5,57,156,156,153,156,155,47,57,160,165,168,166,16,12,10,9,11,45,37,46,44,46,46,48,47,48,48,46,48,36,153,47,13,46,46,2,152,157,59,45,38,47,171,43,38,46,48,46,59,47,48,47,48,11,14,5,10,9,10,59,11,10,10,47,45,46,10,12,11,9,60,47,14,45,6,8,10,49,10,12,12,60,15,49,53,52,49,54,49,53,55,52,59,11,55,10,55,58,49,10,46,10,44,61,8,44,46,58,1,43,11,11,12,47,61,61,47,47,48,50,47,46,11,46,58
recG_114,6,4,55,52,53,54,54,53,52,52,51,50,3,50,58,60,61,0,60,60,59,51,60,7,55,59,57,60,59,59,58,61,58,65,10,59,59,57,56,64,4,7,9,50,50,6,52,61,56,63,57,58,60,53,61,60,2,48,50,49,48,50,51,61,50,49,49,5,52,53,41,58,51,50,49,4,38,49,4,59,50,50,60,59,52,57,58,56,55,4,59,56,58,58,63,49,50,154,158,145,4,155,150,157,160,56,56,55,7,50,65,7,4,59,56,56,54,154,152,143,152,153,38,6,151,155,162,154,63,61,58,58,60,50,50,49,37,38,38,38,38,37,37,33,37,49,150,50,58,49,49,59,146,149,49,48,51,48,159,50,51,49,51,49,3,50,51,50,51,60,62,58,59,60,55,4,60,60,59,55,53,52,59,58,58,58,1,50,61,48,57,57,57,53,57,58,60,3,60,53,53,50,51,54,53,53,55,55,3,60,54,57,55,53,52,59,54,59,54,6,57,52,53,5,60,52,59,60,60,50,10,8,50,48,56,53,50,49,60,49,54
recG_115,58,57,57,54,55,56,56,53,54,54,53,44,57,44,4,6,11,60,0,2,5,41,2,59,7,9,5,6,7,5,6,3,4,10,60,5,5,7,55,57,56,59,59,43,43,60,39,12,4,11,5,6,6,40,63,2,58,44,43,45,43,42,42,5,56,55,52,59,56,57,45,51,44,44,45,60,58,45,58,9,42,43,2,6,41,6,4,8,9,59,5,8,6,8,7,43,43,156,162,155,58,164,162,167,170,49,50,48,59,43,11,59,57,7,8,8,54,158,156,154,158,155,47,56,159,164,167,164,7,9,5,4,6,42,36,45,42,44,44,46,45,46,46,44,46,35,155,43,6,43,43,9,151,158,58,42,37,43,172,42,37,42,44,43,58,43,44,43,45,8,8,6,5,6,7,58,6,7,5,42,40,41,1,7,4,2,59,44,5,42,5,3,5,47,3,5,3,59,6,47,51,50,47,52,47,51,53,50,58,2,53,5,56,55,47,5,41,5,39,60,7,39,43,57,10,42,6,6,7,43,60,60,43,44,43,48,43,43,6,43,55
recG_116,58,57,57,54,55,56,56,53,54,54,53,44,57,44,4,6,11,60,2,0,3,41,2,59,7,9,5,6,7,5,6,3,4,10,60,5,5,7,55,57,56,59,59,43,43,60,39,12,4,11,5,6,6,40,63,2,58,44,43,45,43,42,42,5,56,55,52,59,56,57,45,51,44,44,45,60,58,45,58,9,42,43,2,6,41,6,4,8,9,59,5,8,6,8,7,43,43,156,162,155,58,164,162,167,170,49,50,48,59,43,11,59,57,7,8,8,54,158,156,154,158,155,47,56,159,164,167,164,7,9,5,4,6,42,36,45,42,44,44,46,45,46,46,44,46,35,155,43,6,43,43,9,151,158,58,42,37,43,172,42,37,42,44,43,58,43,44,43,45,8,8,6,5,6,7,58,6,7,5,42,40,41,1,7,4,2,59,44,5,42,5,3,5,47,3,5,3,59,6,47,51,50,47,52,47,51,53,50,58,2,53,5,56,55,47,5,41,5,39,60,7,39,43,57,10,42,6,6,7,43,60,60,43,44,43,48,43,43,6,43,55
recG_117,57,56,56,53,54,55,55,52,53,53,52,43,56,43,3,5,10,59,5,3,0,40,5,58,6,8,4,5,6,4,5,6,5,10,59,6,4,8,56,56,55,58,58,42,42,59,40,11,3,12,4,5,7,40,62,5,57,43,42,44,42,41,41,8,55,54,51,58,55,56,44,50,43,43,44,59,56,44,57,8,41,42,5,5,40,7,3,7,8,58,4,7,5,7,10,42,42,154,161,154,57,165,163,168,168,48,49,47,58,42,10,58,56,6,7,7,53,157,154,153,157,153,46,55,160,165,166,165,10,8,4,3,5,41,35,44,41,43,43,44,43,44,44,43,44,34,154,42,7,42,42,8,150,157,57,41,36,42,171,41,36,41,43,42,57,42,43,42,44,7,9,5,4,5,6,57,5,6,4,43,41,42,4,6,5,5,58,43,8,41,4,2,4,48,4,6,6,58,9,48,52,51,48,53,48,52,54,51,57,5,54,6,55,54,46,4,42,4,40,59,6,40,44,56,9,41,5,5,6,42,59,59,42,43,44,47,42,42,5,42,54
recG_118,50,51,57,54,55,56,56,53,54,52,53,49,50,49,39,41,42,51,41,41,40,0,41,51,38,44,40,41,40,38,39,42,39,43,47,40,40,40,52,56,49,51,46,47,47,47,40,47,39,38,40,41,41,41,65,41,49,46,47,47,45,47,46,44,48,51,50,49,50,51,45,48,47,49,50,49,56,50,51,44,1,47,41,41,45,37,37,39,39,49,40,37,41,39,44,47,4,158,160,155,49,159,156,162,162,46,46,45,51,45,43,51,51,40,37,40,56,155,156,153,151,157,39,52,156,159,161,159,44,44,39,39,41,47,5,50,37,40,39,39,40,39,39,37,39,6,158,47,38,48,49,41,148,157,55,47,6,47,169,1,6,46,48,48,50,47,48,47,50,41,43,39,40,41,38,50,41,41,40,51,49,48,40,40,38,40,50,49,44,47,38,38,38,53,38,38,42,48,43,50,56,53,50,57,51,54,56,52,49,41,56,39,57,55,45,40,50,40,50,50,40,48,51,50,41,1,40,41,41,47,47,52,47,49,52,46,47,48,41,48,55
recG_119,58,57,57,54,55,56,56,53,54,54,53,44,57,44,4,6,11,60,2,2,5,41,0,59,7,9,5,6,7,5,6,3,4,8,60,5,5,7,55,55,56,59,59,41,43,60,39,12,4,11,5,6,6,40,61,2,58,44,43,45,43,42,42,5,56,53,52,59,56,57,45,51,44,44,45,60,56,45,58,9,42,43,2,6,41,6,4,8,9,59,5,8,6,8,7,43,41,154,160,153,58,162,160,165,168,49,50,48,59,43,9,59,57,7,8,8,54,156,154,152,156,153,47,56,157,162,165,162,5,9,5,4,6,42,36,45,42,44,44,46,45,46,46,44,46,35,153,43,6,43,43,9,149,156,58,42,37,43,170,42,37,42,44,43,58,43,44,43,45,8,8,6,5,6,7,58,6,7,5,40,38,39,1,7,4,2,59,44,5,42,5,3,5,47,3,5,3,59,6,47,51,50,47,52,47,51,53,50,58,2,53,5,56,55,45,5,39,5,37,60,7,37,43,57,10,42,6,6,7,43,60,60,43,44,41,46,43,43,6,43,55
